model;Initial area under ROC;Optimized area under ROC;Increase of area under ROC;Initial area under PR;Optimized area under PR;Increase of area under PR
RandomForestClassificationModel: uid=RandomForestClassifier_a343737ec309, numTrees=10, numClasses=2, numFeatures=481;0.9990340030748656;0.9999400910615863;9.060879867207605E-4;0.9987893832699755;0.9999701718559475;0.0011807885859720368
FMClassificationModel: uid=FMClassifier_3c5286ea03fb, numClasses=2, numFeatures=481, factorSize=8, fitLinear=true, fitIntercept=true;0.9988274728734019;0.999143825636828;3.1635276342611984E-4;0.9988706038360329;0.9989817614080468;1.1115757201396459E-4
